line_item_usage_start_date,line_item_product_code,line_item_unblended_cost,resource_tags_user_environment,resource_tags_user_cost_center
2026-08-01,AmazonEC2,120.00,production,engineering
2026-08-01,AmazonRDS,85.00,production,engineering
2026-08-01,AmazonS3,15.00,staging,data-team
2026-08-01,AWSLambda,45.00,,
2026-08-02,AmazonEC2,580.00,production,engineering
2026-08-02,AmazonRDS,88.00,production,engineering
2026-08-02,AmazonS3,16.00,staging,data-team
2026-08-02,AWSLambda,210.00,staging,
2026-08-03,AmazonEC2,125.00,production,engineering
2026-08-03,AmazonRDS,85.00,production,engineering
2026-08-03,AmazonS3,15.00,,data-team
2026-08-03,AWSLambda,42.00,,
